title,rating,genres
Cowboy Bebop,8.78,"Action, Adventure, Comedy, Drama, Sci-Fi, Space"
Cowboy Bebop: Tengoku no Tobira,8.39,"Action, Drama, Mystery, Sci-Fi, Space"
Trigun,8.24,"Action, Sci-Fi, Adventure, Comedy, Drama, Shounen"
Witch Hunter Robin,7.27,"Action, Mystery, Police, Supernatural, Drama, Magic"
Bouken Ou Beet,6.98,"Adventure, Fantasy, Shounen, Supernatural"
Eyeshield 21,7.95,"Action, Sports, Comedy, Shounen"
Hachimitsu to Clover,8.06,"Comedy, Drama, Josei, Romance, Slice of Life"
Hungry Heart: Wild Striker,7.59,"Slice of Life, Comedy, Sports, Shounen"
Initial D Fourth Stage,8.15,"Action, Cars, Sports, Drama, Seinen"
Monster,8.76,"Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller"
Naruto,7.91,"Action, Adventure, Comedy, Super Power, Martial Arts, Shounen"
One Piece,8.52,"Action, Adventure, Comedy, Super Power, Drama, Fantasy, Shounen"
Tennis no Ouji-sama,7.9,"Action, Comedy, Sports, School, Shounen"
Ring ni Kakero 1,6.38,"Action, Shounen, Sports"
School Rumble,7.94,"Comedy, Romance, School, Shounen"
Sunabouzu,7.42,"Action, Adventure, Comedy, Ecchi, Sci-Fi, Shounen"
Texhnolyze,7.76,"Action, Sci-Fi, Psychological, Drama"
Trinity Blood,7.32,"Action, Supernatural, Vampire"
Yakitate!! Japan,7.95,"Comedy, Shounen"
Zipang,7.51,"Action, Military, Sci-Fi, Historical, Drama, Seinen"
Neon Genesis Evangelion,8.32,"Action, Sci-Fi, Dementia, Psychological, Drama, Mecha"
Neon Genesis Evangelion: Death & Rebirth,7.45,"Drama, Mecha, Psychological, Sci-Fi"
Neon Genesis Evangelion: The End of Evangelion,8.51,"Sci-Fi, Dementia, Psychological, Drama, Mecha"
Kenpuu Denki Berserk,8.49,"Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Romance, Seinen, Supernatural"
Koukaku Kidoutai,8.29,"Action, Mecha, Police, Psychological, Sci-Fi, Seinen"
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,8.73,"Action, Historical, Drama, Romance, Martial Arts, Samurai, Shounen"
Rurouni Kenshin: Meiji Kenkaku Romantan,8.31,"Action, Adventure, Comedy, Historical, Romance, Samurai, Shounen"
Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,7.56,"Samurai, Historical, Drama, Shounen"
Akira,8.17,"Action, Military, Sci-Fi, Adventure, Horror, Supernatural, Seinen"
.hack//Sign,6.98,"Game, Sci-Fi, Adventure, Mystery, Magic, Fantasy"
Aa! Megami-sama!,7.32,"Comedy, Magic, Romance, Seinen, Supernatural"
Aa! Megami-sama! (TV),7.35,"Comedy, Supernatural, Magic, Romance, Seinen"
Tenshi Kinryouku,6.31,"Action, Drama, Romance, Shoujo, Supernatural"
Kidou Tenshi Angelic Layer,7.26,"Sci-Fi, Comedy, Sports, Drama, Shounen"
Ai Yori Aoshi,7.14,"Harem, Slice of Life, Comedy, Drama, Romance"
Appleseed (Movie),7.1,"Action, Military, Sci-Fi, Police, Drama, Mecha, Shounen"
Arc the Lad,6.53,"Action, Adventure, Fantasy, Horror, Sci-Fi"
Avenger,5.91,"Adventure, Fantasy, Sci-Fi, Shounen"
Beck,8.31,"Comedy, Drama, Music, Shounen, Slice of Life"
Blue Gender,7.05,"Adventure, Romance, Mecha, Military, Sci-Fi, Horror, Space, Drama"
Chobits,7.43,"Sci-Fi, Comedy, Drama, Romance, Ecchi, Seinen"
Chrno Crusade,7.66,"Action, Demons, Historical, Romance, Shounen, Supernatural"
D.N.Angel,7.2,"Action, Comedy, Magic, Romance, Fantasy, School, Shoujo"
D.C.: Da Capo,6.77,"Harem, Drama, Magic, Romance"
DearS,6.62,"Sci-Fi, Harem, Comedy, Romance, Ecchi, Shounen"
Rozen Maiden,7.44,"Action, Comedy, Drama, Magic, Seinen"
Rozen Maiden: Träumend,7.65,"Action, Comedy, Drama, Magic, Seinen"
Azumanga Daioh,7.98,"Slice of Life, Comedy, School"
Basilisk: Kouga Ninpou Chou,7.58,"Action, Adventure, Historical, Supernatural, Romance, Samurai, Fantasy"
Black Cat (TV),7.38,"Sci-Fi, Adventure, Comedy, Super Power, Shounen"
Cluster Edge,6.35,"Action, Fantasy, Military, Sci-Fi"
Full Metal Panic!,7.65,"Action, Military, Sci-Fi, Comedy, Mecha"
Full Metal Panic? Fumoffu,8.07,"Action, Comedy, School"
Full Metal Panic! The Second Raid,7.96,"Action, Military, Mecha"
Gakuen Alice,7.65,"Comedy, School, Shoujo, Super Power"
Soukyuu no Fafner: Dead Aggressor,7.3,"Action, Drama, Mecha, Military, Sci-Fi"
Mahou Shoujo Lyrical Nanoha,7.42,"Action, Comedy, Drama, Magic, Super Power"
Mahou Shoujo Lyrical Nanoha A's,7.99,"Action, Comedy, Drama, Magic, Super Power"
Shuffle!,7.09,"Harem, Comedy, Drama, Magic, Romance, Ecchi, Fantasy, School, Seinen"
Mobile Suit Gundam,7.78,"Action, Military, Sci-Fi, Space, Mecha"
Mobile Suit Gundam: The 08th MS Team,8.03,"Adventure, Drama, Mecha, Military, Romance, Sci-Fi"
Mobile Suit Gundam 0080: War in the Pocket,7.9,"Military, Sci-Fi, Space, Drama, Mecha"
Mobile Suit Gundam: The 08th MS Team - Miller's Report,6.79,"Military, Sci-Fi, Drama, Romance, Mecha"
Mobile Suit Gundam 0083: Stardust Memory,7.3,"Military, Sci-Fi, Adventure, Space, Drama, Romance, Mecha"
Mobile Suit Zeta Gundam,7.92,"Military, Sci-Fi, Space, Drama, Romance, Mecha"
Mobile Suit Gundam ZZ,6.66,"Space, Comedy, Mecha, Military, Drama, Sci-Fi"
Mobile Suit Gundam: Char's Counterattack,7.68,"Military, Sci-Fi, Space, Drama, Mecha"
Mobile Suit Gundam F91,6.67,"Drama, Mecha, Military, Sci-Fi, Space"
Mobile Suit Victory Gundam,6.76,"Drama, Mecha, Military, Sci-Fi, Space"
Mobile Suit Gundam Wing,7.72,"Action, Military, Sci-Fi, Space, Drama, Mecha"
Mobile Suit Gundam Wing: Endless Waltz,7.76,"Action, Drama, Mecha, Military, Sci-Fi, Space"
After War Gundam X,7.32,"Sci-Fi, Adventure, Space, Drama, Mecha"
Mobile Suit Gundam SEED,7.79,"Action, Drama, Mecha, Military, Romance, Sci-Fi, Space"
Mobile Suit Gundam SEED Destiny,7.22,"Action, Drama, Mecha, Military, Romance, Sci-Fi, Space"
Turn A Gundam,7.7,"Action, Military, Sci-Fi, Adventure, Space, Drama, Romance, Mecha"
Mobile Fighter G Gundam,7.56,"Adventure, Comedy, Drama, Martial Arts, Mecha, Romance, Sci-Fi, Space, Sports"
Last Exile,7.82,"Action, Sci-Fi, Adventure"
Mai-HiME,7.46,"Action, Comedy, Drama, Fantasy, Magic, Mecha, Romance, School, Shoujo Ai"
Mai-Otome,7.31,"Comedy, Drama, Fantasy, Magic"
